experiment,case,variant,storage_tau,area_weights,role,evaluations,overflow_share,mean_spill_fraction,median_spill_fraction,max_spill_fraction
Kuranji_order_uncertainty,KURANJI,refinement_058,0.0,0,urban_and_receiver,864,0.5057870370370371,0.19514298004793315,0.00620226644014475,0.9
Kuranji_order_uncertainty,KURANJI,refinement_059,0.0,0,urban_and_receiver,864,0.5127314814814815,0.19613959007273357,0.022828949812793348,0.9
Kuranji_order_uncertainty,KURANJI,refinement_060,0.0,0,urban_and_receiver,864,0.5509259259259259,0.21690904124848526,0.075,0.92
Kuranji_order_uncertainty,KURANJI,refinement_061,0.0,0,urban_and_receiver,864,0.5520833333333334,0.2168921169914653,0.075,0.92
Kuranji_order_uncertainty,KURANJI,refinement_062,0.0,0,urban_and_receiver,864,0.5092592592592593,0.19473630914774123,0.01361126106315175,0.9
Kuranji_order_uncertainty,KURANJI,refinement_063,0.0,0,urban_and_receiver,864,0.5196759259259259,0.20049438504729403,0.025,0.9
Kuranji_order_uncertainty,KURANJI,refinement_064,0.0,0,urban_and_receiver,864,0.5069444444444444,0.19421305669747688,0.0051380341436022,0.9
Kuranji_order_uncertainty,KURANJI,refinement_065,0.0,0,urban_and_receiver,864,0.5497685185185185,0.21720022271059194,0.0759524180458317,0.92
Kuranji_order_uncertainty,KURANJI,refinement_066,0.0,0,urban_and_receiver,864,0.5254629629629629,0.20036540054270832,0.03080157545081615,0.9
Kuranji_order_uncertainty,KURANJI,refinement_067,0.0,0,urban_and_receiver,864,0.5243055555555556,0.20223906325496746,0.0253704604850169,0.9200000000000002
Kuranji_order_uncertainty,KURANJI,refinement_068,0.0,0,urban_and_receiver,864,0.5243055555555556,0.1999604838972388,0.0253704604850169,0.9000000000000002
Kuranji_order_uncertainty,KURANJI,refinement_069,0.0,0,urban_and_receiver,864,0.5138888888888888,0.19833300605641643,0.01878890763787825,0.9
Kuranji_order_uncertainty,KURANJI,refinement_070,0.0,0,urban_and_receiver,864,0.5127314814814815,0.20094248364060702,0.01928736168136325,0.9200000000000002
Kuranji_order_uncertainty,KURANJI,refinement_071,0.0,0,urban_and_receiver,864,0.5219907407407407,0.20091151453093414,0.02506042096158445,0.9000000000000002
Kuranji_order_uncertainty,KURANJI,refinement_072,0.0,0,urban_and_receiver,864,0.5578703703703703,0.22695638479189503,0.08714649507846076,0.94
Kuranji_order_uncertainty,KURANJI,refinement_073,0.0,0,urban_and_receiver,864,0.5520833333333334,0.22650482447428766,0.075,0.94
Kuranji_order_uncertainty,KURANJI,refinement_074,0.0,0,urban_and_receiver,864,0.5543981481481481,0.22452644456179147,0.075,0.94
Kuranji_order_uncertainty,KURANJI,refinement_075,0.0,0,urban_and_receiver,864,0.5243055555555556,0.20297233052789324,0.0361138304110753,0.92
Kuranji_order_uncertainty,KURANJI,refinement_076,0.0,0,urban_and_receiver,864,0.5162037037037037,0.20315506326402108,0.031612594053089596,0.92
Kuranji_order_uncertainty,KURANJI,refinement_077,0.0,0,urban_and_receiver,864,0.5208333333333334,0.20210622621388327,0.03294321790460005,0.9000000000000001
Kuranji_order_uncertainty,KURANJI,refinement_078,0.0,0,urban_and_receiver,864,0.5532407407407407,0.21987720315394607,0.07697541243196546,0.92
Kuranji_order_uncertainty,KURANJI,refinement_079,0.0,0,urban_and_receiver,864,0.5462962962962963,0.21907284177930822,0.08164949187062415,0.92
Kuranji_order_uncertainty,KURANJI,refinement_080,0.0,0,urban_and_receiver,864,0.5208333333333334,0.20359994577699883,0.028495460485016902,0.9
Kuranji_order_uncertainty,KURANJI,refinement_081,0.0,0,urban_and_receiver,864,0.5243055555555556,0.20223587334609958,0.031575217505854,0.9
Kuranji_order_uncertainty,KURANJI,refinement_082,0.0,0,urban_and_receiver,864,0.5173611111111112,0.19930762909247463,0.0253704604850169,0.9
Kuranji_order_uncertainty,KURANJI,refinement_083,0.0,0,urban_and_receiver,864,0.5520833333333334,0.21932309970282418,0.08556509801665735,0.92
Kuranji_order_uncertainty,KURANJI,refinement_084,0.0,0,urban_and_receiver,864,0.5300925925925926,0.2011381754549186,0.032932195907797154,0.9
Kuranji_order_uncertainty,KURANJI,refinement_085,0.0,0,urban_and_receiver,864,0.5196759259259259,0.20005950903237998,0.0233352247224318,0.9
Kuranji_order_uncertainty,KURANJI,refinement_086,0.0,0,urban_and_receiver,864,0.53125,0.19984688901346248,0.02645652631718945,0.9
Kuranji_order_uncertainty,KURANJI,refinement_087,0.0,0,urban_and_receiver,864,0.5219907407407407,0.20226595139463896,0.0344886253821133,0.9
Kuranji_order_uncertainty,KURANJI,refinement_088,0.0,0,urban_and_receiver,864,0.5173611111111112,0.202838280855771,0.029713421690287498,0.92
Kuranji_order_uncertainty,KURANJI,refinement_089,0.0,0,urban_and_receiver,864,0.5185185185185185,0.1977598893513194,0.02321236000669025,0.9
Kuranji_order_uncertainty,KURANJI,refinement_090,0.0,0,urban_and_receiver,864,0.5185185185185185,0.20131398059324215,0.0243797876979054,0.9
Kuranji_order_uncertainty,KURANJI,refinement_091,0.0,0,urban_and_receiver,864,0.5150462962962963,0.20387086854304823,0.030216909445787202,0.9
Kuranji_order_uncertainty,KURANJI,refinement_092,0.0,0,urban_and_receiver,864,0.5208333333333334,0.20264676301312712,0.025,0.9
Kuranji_order_uncertainty,KURANJI,refinement_093,0.0,0,urban_and_receiver,864,0.5439814814814815,0.2146228214217125,0.0586441504567845,0.92
Kuranji_order_uncertainty,KURANJI,refinement_094,0.0,0,urban_and_receiver,864,0.5381944444444444,0.2144157512453482,0.0555075141545806,0.92
Kuranji_order_uncertainty,KURANJI,refinement_095,0.0,0,urban_and_receiver,864,0.5185185185185185,0.2007603548770131,0.0305568457744133,0.9
Kuranji_order_uncertainty,KURANJI,refinement_096,0.0,0,urban_and_receiver,864,0.5092592592592593,0.1984382609011515,0.0183878708822217,0.9
Kuranji_order_uncertainty,KURANJI,refinement_097,0.0,0,urban_and_receiver,864,0.5138888888888888,0.2004532969359016,0.026169545346143,0.9
Kuranji_order_uncertainty,KURANJI,refinement_098,0.0,0,urban_and_receiver,864,0.5405092592592593,0.21519940834693,0.0676456668817692,0.92
Kuranji_order_uncertainty,KURANJI,refinement_099,0.0,0,urban_and_receiver,864,0.5127314814814815,0.19795094762561113,0.01087385381285255,0.9
Kuranji_order_uncertainty,KURANJI,refinement_100,0.0,0,urban_and_receiver,864,0.5081018518518519,0.19580318139588734,0.0091578378139396,0.9
Kuranji_order_uncertainty,KURANJI,refinement_101,0.0,0,urban_and_receiver,864,0.5150462962962963,0.19782290265517308,0.01195981106850445,0.9
Kuranji_order_uncertainty,KURANJI,refinement_102,0.0,0,urban_and_receiver,864,0.5150462962962963,0.2008973375644777,0.0262883865276995,0.9
Kuranji_order_uncertainty,KURANJI,refinement_103,0.0,0,urban_and_receiver,864,0.5115740740740741,0.2003851802115372,0.025,0.9
Kuranji_order_uncertainty,KURANJI,refinement_104,0.0,0,urban_and_receiver,864,0.5104166666666666,0.1956419015965276,0.010339413172294549,0.9
