case,storage_tau,role,spread,duration,memory,mean_spill_fraction,overflow_share
HUE,2.0,urban,24,24,0.0,0.01091003419825786,0.109375
HUE,2.0,urban,24,24,2.0,0.005511878368846591,0.07291666666666667
HUE,8.0,receiver,0,2,0.0,0.15499591859025968,0.5716145833333334
HUE,8.0,receiver,0,2,2.0,0.07551509393057983,0.34375
HUE,8.0,receiver,0,8,0.0,0.10131091331662717,0.4010416666666667
HUE,8.0,receiver,0,8,2.0,0.06684297076349485,0.3216145833333333
HUE,8.0,receiver,0,24,0.0,0.05052356505199287,0.24479166666666666
HUE,8.0,receiver,0,24,2.0,0.03691720815228088,0.19401041666666666
HUE,8.0,receiver,8,2,0.0,0.14236040489854065,0.5598958333333334
HUE,8.0,receiver,8,2,2.0,0.07247718118192657,0.3255208333333333
HUE,8.0,receiver,8,8,0.0,0.09841201040044502,0.3893229166666667
HUE,8.0,receiver,8,8,2.0,0.06432431731162006,0.2981770833333333
HUE,8.0,receiver,8,24,0.0,0.05045205371731142,0.23567708333333334
HUE,8.0,receiver,8,24,2.0,0.03638831086143686,0.19270833333333334
HUE,8.0,receiver,24,2,0.0,0.11429618169102433,0.5143229166666666
HUE,8.0,receiver,24,2,2.0,0.06503077575354219,0.32421875
HUE,8.0,receiver,24,8,0.0,0.07314351167223217,0.3372395833333333
HUE,8.0,receiver,24,8,2.0,0.04441542455483071,0.24479166666666666
HUE,8.0,receiver,24,24,0.0,0.038104418295269504,0.20182291666666666
HUE,8.0,receiver,24,24,2.0,0.029103246377266176,0.17838541666666666
HUE,8.0,urban,0,2,0.0,0.019870847745504946,0.18619791666666666
HUE,8.0,urban,0,2,2.0,0.015144509331939593,0.12109375
HUE,8.0,urban,0,8,0.0,0.015930824099080237,0.16276041666666666
HUE,8.0,urban,0,8,2.0,0.01115059748000166,0.10546875
HUE,8.0,urban,0,24,0.0,0.004807084514059006,0.057291666666666664
HUE,8.0,urban,0,24,2.0,0.0045174453254550285,0.061197916666666664
HUE,8.0,urban,8,2,0.0,0.018470684028230152,0.171875
HUE,8.0,urban,8,2,2.0,0.010179768152903704,0.10286458333333333
HUE,8.0,urban,8,8,0.0,0.01272019343619314,0.12369791666666667
HUE,8.0,urban,8,8,2.0,0.00938668589475103,0.10677083333333333
HUE,8.0,urban,8,24,0.0,0.0034239592702647458,0.05078125
HUE,8.0,urban,8,24,2.0,0.003349249632393291,0.049479166666666664
HUE,8.0,urban,24,2,0.0,0.013561284780644436,0.14583333333333334
HUE,8.0,urban,24,2,2.0,0.006960281744517843,0.08463541666666667
HUE,8.0,urban,24,8,0.0,0.008721352474844587,0.10677083333333333
HUE,8.0,urban,24,8,2.0,0.006035896603213047,0.0859375
HUE,8.0,urban,24,24,0.0,0.004253221050956796,0.059895833333333336
HUE,8.0,urban,24,24,2.0,0.0020007151134011016,0.040364583333333336
KADAMAIAN,0.0,urban_and_receiver,0,2,0.0,0.5695278294244965,0.97265625
KADAMAIAN,0.0,urban_and_receiver,0,2,2.0,0.26380587735932176,0.6705729166666666
KADAMAIAN,0.0,urban_and_receiver,0,8,0.0,0.3039206300245718,0.7109375
KADAMAIAN,0.0,urban_and_receiver,0,8,2.0,0.20210716940519888,0.5911458333333334
KADAMAIAN,0.0,urban_and_receiver,0,24,0.0,0.10730551135518211,0.33203125
KADAMAIAN,0.0,urban_and_receiver,0,24,2.0,0.08999812253399055,0.32421875
KADAMAIAN,0.0,urban_and_receiver,8,2,0.0,0.48090069590541673,0.890625
KADAMAIAN,0.0,urban_and_receiver,8,2,2.0,0.2417486039575384,0.6575520833333334
KADAMAIAN,0.0,urban_and_receiver,8,8,0.0,0.2606098134328797,0.6393229166666666
KADAMAIAN,0.0,urban_and_receiver,8,8,2.0,0.17993637568213375,0.5286458333333334
KADAMAIAN,0.0,urban_and_receiver,8,24,0.0,0.09909660601201888,0.3255208333333333
KADAMAIAN,0.0,urban_and_receiver,8,24,2.0,0.08570017379020926,0.3111979166666667
KADAMAIAN,0.0,urban_and_receiver,24,2,0.0,0.42578676319265424,0.8463541666666666
KADAMAIAN,0.0,urban_and_receiver,24,2,2.0,0.1812705884207648,0.5703125
KADAMAIAN,0.0,urban_and_receiver,24,8,0.0,0.193601794224764,0.51953125
KADAMAIAN,0.0,urban_and_receiver,24,8,2.0,0.13144755063185534,0.4388020833333333
KADAMAIAN,0.0,urban_and_receiver,24,24,0.0,0.07723561763274762,0.28515625
KADAMAIAN,0.0,urban_and_receiver,24,24,2.0,0.06579268887366217,0.2682291666666667
KURANJI,0.0,urban_and_receiver,0,2,0.0,0.6026882511182304,0.96875
KURANJI,0.0,urban_and_receiver,0,2,2.0,0.2676541134820405,0.6666666666666666
KURANJI,0.0,urban_and_receiver,0,8,0.0,0.3220266705033742,0.7369791666666666
KURANJI,0.0,urban_and_receiver,0,8,2.0,0.20486824333196293,0.6106770833333334
KURANJI,0.0,urban_and_receiver,0,24,0.0,0.11082966157335651,0.3333333333333333
KURANJI,0.0,urban_and_receiver,0,24,2.0,0.09107983368095411,0.3294270833333333
KURANJI,0.0,urban_and_receiver,8,2,0.0,0.41583573833495135,0.8385416666666666
KURANJI,0.0,urban_and_receiver,8,2,2.0,0.20721601906548592,0.6002604166666666
KURANJI,0.0,urban_and_receiver,8,8,0.0,0.2511464285097415,0.6263020833333334
KURANJI,0.0,urban_and_receiver,8,8,2.0,0.16882671249214787,0.49609375
KURANJI,0.0,urban_and_receiver,8,24,0.0,0.09725721915318253,0.3268229166666667
KURANJI,0.0,urban_and_receiver,8,24,2.0,0.08505224567425211,0.3033854166666667
KURANJI,0.0,urban_and_receiver,24,2,0.0,0.3246843922665372,0.7369791666666666
KURANJI,0.0,urban_and_receiver,24,2,2.0,0.13527775636355496,0.46484375
KURANJI,0.0,urban_and_receiver,24,8,0.0,0.15665976270682977,0.4765625
KURANJI,0.0,urban_and_receiver,24,8,2.0,0.09958003243678364,0.3723958333333333
KURANJI,0.0,urban_and_receiver,24,24,0.0,0.06250014508865938,0.26171875
KURANJI,0.0,urban_and_receiver,24,24,2.0,0.05660977550365456,0.24739583333333334
MANADO,0.0,urban_and_receiver,0,2,0.0,0.5722651244983044,0.9739583333333334
MANADO,0.0,urban_and_receiver,0,2,2.0,0.2653440844591913,0.6666666666666666
MANADO,0.0,urban_and_receiver,0,8,0.0,0.30829900236910074,0.71875
MANADO,0.0,urban_and_receiver,0,8,2.0,0.20236679657689405,0.5950520833333334
