scenario_id,duration,shape,spread,weights,activation,delay,memory,rep
170,2,block,24,random,all,heterogeneous,0.0,2
171,2,block,24,random,all,heterogeneous,0.0,3
172,2,block,24,random,all,heterogeneous,2.0,0
173,2,block,24,random,all,heterogeneous,2.0,1
174,2,block,24,random,all,heterogeneous,2.0,2
175,2,block,24,random,all,heterogeneous,2.0,3
176,2,block,24,random,subset,unit,0.0,0
177,2,block,24,random,subset,unit,0.0,1
178,2,block,24,random,subset,unit,0.0,2
179,2,block,24,random,subset,unit,0.0,3
180,2,block,24,random,subset,unit,2.0,0
181,2,block,24,random,subset,unit,2.0,1
182,2,block,24,random,subset,unit,2.0,2
183,2,block,24,random,subset,unit,2.0,3
184,2,block,24,random,subset,heterogeneous,0.0,0
185,2,block,24,random,subset,heterogeneous,0.0,1
186,2,block,24,random,subset,heterogeneous,0.0,2
187,2,block,24,random,subset,heterogeneous,0.0,3
188,2,block,24,random,subset,heterogeneous,2.0,0
189,2,block,24,random,subset,heterogeneous,2.0,1
190,2,block,24,random,subset,heterogeneous,2.0,2
191,2,block,24,random,subset,heterogeneous,2.0,3
192,2,triangle,0,equal,all,unit,0.0,0
193,2,triangle,0,equal,all,unit,0.0,1
194,2,triangle,0,equal,all,unit,0.0,2
195,2,triangle,0,equal,all,unit,0.0,3
196,2,triangle,0,equal,all,unit,2.0,0
197,2,triangle,0,equal,all,unit,2.0,1
198,2,triangle,0,equal,all,unit,2.0,2
199,2,triangle,0,equal,all,unit,2.0,3
200,2,triangle,0,equal,all,heterogeneous,0.0,0
201,2,triangle,0,equal,all,heterogeneous,0.0,1
202,2,triangle,0,equal,all,heterogeneous,0.0,2
203,2,triangle,0,equal,all,heterogeneous,0.0,3
204,2,triangle,0,equal,all,heterogeneous,2.0,0
205,2,triangle,0,equal,all,heterogeneous,2.0,1
206,2,triangle,0,equal,all,heterogeneous,2.0,2
207,2,triangle,0,equal,all,heterogeneous,2.0,3
208,2,triangle,0,equal,subset,unit,0.0,0
209,2,triangle,0,equal,subset,unit,0.0,1
210,2,triangle,0,equal,subset,unit,0.0,2
211,2,triangle,0,equal,subset,unit,0.0,3
212,2,triangle,0,equal,subset,unit,2.0,0
213,2,triangle,0,equal,subset,unit,2.0,1
214,2,triangle,0,equal,subset,unit,2.0,2
215,2,triangle,0,equal,subset,unit,2.0,3
216,2,triangle,0,equal,subset,heterogeneous,0.0,0
217,2,triangle,0,equal,subset,heterogeneous,0.0,1
218,2,triangle,0,equal,subset,heterogeneous,0.0,2
219,2,triangle,0,equal,subset,heterogeneous,0.0,3
220,2,triangle,0,equal,subset,heterogeneous,2.0,0
221,2,triangle,0,equal,subset,heterogeneous,2.0,1
222,2,triangle,0,equal,subset,heterogeneous,2.0,2
223,2,triangle,0,equal,subset,heterogeneous,2.0,3
224,2,triangle,0,random,all,unit,0.0,0
225,2,triangle,0,random,all,unit,0.0,1
226,2,triangle,0,random,all,unit,0.0,2
227,2,triangle,0,random,all,unit,0.0,3
228,2,triangle,0,random,all,unit,2.0,0
229,2,triangle,0,random,all,unit,2.0,1
230,2,triangle,0,random,all,unit,2.0,2
231,2,triangle,0,random,all,unit,2.0,3
232,2,triangle,0,random,all,heterogeneous,0.0,0
233,2,triangle,0,random,all,heterogeneous,0.0,1
234,2,triangle,0,random,all,heterogeneous,0.0,2
235,2,triangle,0,random,all,heterogeneous,0.0,3
236,2,triangle,0,random,all,heterogeneous,2.0,0
237,2,triangle,0,random,all,heterogeneous,2.0,1
238,2,triangle,0,random,all,heterogeneous,2.0,2
239,2,triangle,0,random,all,heterogeneous,2.0,3
240,2,triangle,0,random,subset,unit,0.0,0
241,2,triangle,0,random,subset,unit,0.0,1
242,2,triangle,0,random,subset,unit,0.0,2
243,2,triangle,0,random,subset,unit,0.0,3
244,2,triangle,0,random,subset,unit,2.0,0
245,2,triangle,0,random,subset,unit,2.0,1
246,2,triangle,0,random,subset,unit,2.0,2
247,2,triangle,0,random,subset,unit,2.0,3
248,2,triangle,0,random,subset,heterogeneous,0.0,0
249,2,triangle,0,random,subset,heterogeneous,0.0,1
250,2,triangle,0,random,subset,heterogeneous,0.0,2
251,2,triangle,0,random,subset,heterogeneous,0.0,3
252,2,triangle,0,random,subset,heterogeneous,2.0,0
253,2,triangle,0,random,subset,heterogeneous,2.0,1
254,2,triangle,0,random,subset,heterogeneous,2.0,2
255,2,triangle,0,random,subset,heterogeneous,2.0,3
256,2,triangle,8,equal,all,unit,0.0,0
257,2,triangle,8,equal,all,unit,0.0,1
